2026-03-10 12:09:45.262 | DEBUG    | __main__:run_ingestion:136 - Batch 99: inserted 195/200 | total 19,800
2026-03-10 12:09:46.394 | DEBUG    | __main__:run_ingestion:136 - Batch 100: inserted 200/200 | total 20,000
2026-03-10 12:09:47.652 | DEBUG    | __main__:run_ingestion:136 - Batch 101: inserted 200/200 | total 20,200
2026-03-10 12:09:48.724 | DEBUG    | __main__:run_ingestion:136 - Batch 102: inserted 200/200 | total 20,400
2026-03-10 12:09:49.630 | DEBUG    | __main__:run_ingestion:136 - Batch 103: inserted 199/200 | total 20,600
2026-03-10 12:09:50.766 | DEBUG    | __main__:run_ingestion:136 - Batch 104: inserted 197/200 | total 20,800
2026-03-10 12:09:51.884 | DEBUG    | __main__:run_ingestion:136 - Batch 105: inserted 198/200 | total 21,000
2026-03-10 12:09:52.991 | DEBUG    | __main__:run_ingestion:136 - Batch 106: inserted 195/200 | total 21,200
2026-03-10 12:09:54.068 | DEBUG    | __main__:run_ingestion:136 - Batch 107: inserted 196/200 | total 21,400
2026-03-10 12:09:55.104 | DEBUG    | __main__:run_ingestion:136 - Batch 108: inserted 197/200 | total 21,600
2026-03-10 12:09:56.201 | DEBUG    | __main__:run_ingestion:136 - Batch 109: inserted 197/200 | total 21,800
2026-03-10 12:09:57.128 | DEBUG    | __main__:run_ingestion:136 - Batch 110: inserted 197/200 | total 22,000
2026-03-10 12:09:58.054 | DEBUG    | __main__:run_ingestion:136 - Batch 111: inserted 195/200 | total 22,200
2026-03-10 12:09:59.102 | DEBUG    | __main__:run_ingestion:136 - Batch 112: inserted 199/200 | total 22,400
2026-03-10 12:10:00.217 | DEBUG    | __main__:run_ingestion:136 - Batch 113: inserted 195/200 | total 22,600
2026-03-10 12:10:01.515 | DEBUG    | __main__:run_ingestion:136 - Batch 114: inserted 200/200 | total 22,800
2026-03-10 12:10:02.899 | DEBUG    | __main__:run_ingestion:136 - Batch 115: inserted 198/200 | total 23,000
2026-03-10 12:10:03.798 | DEBUG    | __main__:run_ingestion:136 - Batch 116: inserted 197/200 | total 23,200
2026-03-10 12:10:04.882 | DEBUG    | __main__:run_ingestion:136 - Batch 117: inserted 196/200 | total 23,400
2026-03-10 12:10:05.990 | DEBUG    | __main__:run_ingestion:136 - Batch 118: inserted 199/200 | total 23,600
2026-03-10 12:10:06.947 | DEBUG    | __main__:run_ingestion:136 - Batch 119: inserted 199/200 | total 23,800
2026-03-10 12:10:08.119 | DEBUG    | __main__:run_ingestion:136 - Batch 120: inserted 199/200 | total 24,000
2026-03-10 12:10:09.471 | DEBUG    | __main__:run_ingestion:136 - Batch 121: inserted 198/200 | total 24,200
2026-03-10 12:10:10.684 | DEBUG    | __main__:run_ingestion:136 - Batch 122: inserted 200/200 | total 24,400
2026-03-10 12:10:11.857 | DEBUG    | __main__:run_ingestion:136 - Batch 123: inserted 199/200 | total 24,600
2026-03-10 12:10:12.908 | DEBUG    | __main__:run_ingestion:136 - Batch 124: inserted 200/200 | total 24,800
2026-03-10 12:10:13.960 | DEBUG    | __main__:run_ingestion:136 - Batch 125: inserted 200/200 | total 25,000
2026-03-10 12:10:15.036 | DEBUG    | __main__:run_ingestion:136 - Batch 126: inserted 197/200 | total 25,200
2026-03-10 12:10:16.232 | DEBUG    | __main__:run_ingestion:136 - Batch 127: inserted 197/200 | total 25,400
2026-03-10 12:10:17.359 | DEBUG    | __main__:run_ingestion:136 - Batch 128: inserted 197/200 | total 25,600
2026-03-10 12:10:18.433 | DEBUG    | __main__:run_ingestion:136 - Batch 129: inserted 199/200 | total 25,800
2026-03-10 12:10:19.313 | DEBUG    | __main__:run_ingestion:136 - Batch 130: inserted 199/200 | total 26,000
2026-03-10 12:10:20.349 | DEBUG    | __main__:run_ingestion:136 - Batch 131: inserted 199/200 | total 26,200
2026-03-10 12:10:21.412 | DEBUG    | __main__:run_ingestion:136 - Batch 132: inserted 198/200 | total 26,400
2026-03-10 12:10:22.479 | DEBUG    | __main__:run_ingestion:136 - Batch 133: inserted 198/200 | total 26,600
2026-03-10 12:10:23.593 | DEBUG    | __main__:run_ingestion:136 - Batch 134: inserted 200/200 | total 26,800
2026-03-10 12:10:24.676 | DEBUG    | __main__:run_ingestion:136 - Batch 135: inserted 199/200 | total 27,000
2026-03-10 12:10:25.729 | DEBUG    | __main__:run_ingestion:136 - Batch 136: inserted 197/200 | total 27,200
2026-03-10 12:10:26.612 | DEBUG    | __main__:run_ingestion:136 - Batch 137: inserted 195/200 | total 27,400
2026-03-10 12:10:27.687 | DEBUG    | __main__:run_ingestion:136 - Batch 138: inserted 197/200 | total 27,600
2026-03-10 12:10:28.824 | DEBUG    | __main__:run_ingestion:136 - Batch 139: inserted 199/200 | total 27,800
2026-03-10 12:10:29.687 | DEBUG    | __main__:run_ingestion:136 - Batch 140: inserted 198/200 | total 28,000
2026-03-10 12:10:30.807 | DEBUG    | __main__:run_ingestion:136 - Batch 141: inserted 197/200 | total 28,200
2026-03-10 12:10:31.851 | DEBUG    | __main__:run_ingestion:136 - Batch 142: inserted 197/200 | total 28,400
2026-03-10 12:10:33.084 | DEBUG    | __main__:run_ingestion:136 - Batch 143: inserted 199/200 | total 28,600
2026-03-10 12:10:34.164 | DEBUG    | __main__:run_ingestion:136 - Batch 144: inserted 197/200 | total 28,800
2026-03-10 12:10:35.611 | DEBUG    | __main__:run_ingestion:136 - Batch 145: inserted 198/200 | total 29,000
2026-03-10 12:10:36.690 | DEBUG    | __main__:run_ingestion:136 - Batch 146: inserted 199/200 | total 29,200
